TIC,TOI,GAIA,Teff
231663901,101,6462994429708755072,5824.0
149603524,102,4756649415309914240,6391.0
336732616,103,6805886373600546176,6371.0
231670397,104,6453566701615683456,6124.0
144065872,105,6518399301667782016,5758.0
38846515,106,4675352109658261376,6733.0
92352620,107,6780546169633475456,6072.6
289793076,108,6803000980210856704,5445.0
29344935,109,6805149288493408640,5361.0
281459670,110,4906145613282734208,5750.4
355703913,111,4904523077718046720,5435.56
388104525,112,4672607178880426624,5650.0
97409519,113,6614751532833886464,6147.0
25155310,114,4666498154837086208,5675.54
281541555,115,4919771654727611008,5483.0
238176110,116,6386751579018596864,4935.4
322307342,117,4904279261014267648,5704.8
266980320,118,6492940453524576128,5527.0
278683844,119,5484357574075622784,5130.0
394137592,120,4707634458245031552,5479.3
207081058,121,6571502449115103232,6073.0
231702397,122,6411096106487783296,3356.0
290131778,123,6790773586275235200,6356.0
29831208,124,4656539225192186112,5343.0
52368076,125,4698692744355471616,5280.0
70440470,126,6596925769287980416,5957.0
234523599,127,4710594412266148352,3402.0
391949880,128,4621607053580909568,6059.0
201248411,129,4923860051276772608,4486.0
263003176,130,4617759514501503616,6295.7
235037761,131,6486330636294767232,4174.0
89020549,132,6520880040423258240,5304.0
219338557,133,6489346046933733632,4281.0
234994474,134,6491962296196145664,3746.0
267263253,135,4684205720883329920,6792.0
410153553,136,6385548541499112448,3004.0
176957796,137,5284980111253110144,4651.0
277683130,138,6409051044924482048,5722.0
62483237,139,6598814657249555328,4405.0
140068425,140,6560658000290148608,6231.0
403224672,141,6407428994690988928,5795.29
425934411,142,4901321849613348736,3630.0
25375553,143,6813902839862151936,6510.0
261136679,144,4623036865373793408,5992.1
265612438,145,6508060731270968064,5507.0
355636844,146,6496578600061891712,nan
220435095,147,4762555785607165824,5620.9
393940766,148,6594248591617970560,6060.0
260985861,149,4621665155898448768,nan
271893367,150,5262709709389254528,5982.9
382302241,151,4760166237602380032,5144.67
403287048,152,6405784017920070400,6343.0
231081369,153,4656694187611949824,6142.92
389525208,154,6774883616031582208,6149.0
129637892,155,6583751420965707648,6540.0
220518305,156,4720986721294105216,6241.6
140691463,157,4624979393181971328,5638.0
403136413,158,6508105536369837312,6115.77
394657039,159,4626444453769772160,6979.2
253917293,160,6601821821552332544,6042.0
348770361,161,4618875523099627648,5388.0
99493790,162,6804708139515008640,5526.0
179317684,163,4651366259202463104,6671.0
79395355,164,6466371167355931008,6099.0
350743714,165,4765618612685018368,6038.0
147203645,166,6577791758704836480,5399.0
149990841,167,5476760056108292352,nan
369457671,168,6778010592741413376,4638.0
183120439,169,4684513614202233728,5817.0
394698182,170,4615605055826120448,5973.0
309257814,171,5277301568721502848,5196.0
29857954,172,6801474136516893184,5759.0
270341214,173,4631997507182253184,6680.0
425997655,174,4674216245427964416,4813.0
307210830,175,5271055243163629056,3429.0
272086159,176,5263409067503771392,3262.0
262530407,177,4933912198893332224,3639.0
251848941,178,2318295979126499200,4339.0
207141131,179,4728513943538448512,5081.0
51912829,180,4704412128965720448,6251.0
76923707,181,6552346035980010624,4753.0
76989773,182,6551292978718711168,nan
183979262,183,4686544382117423488,6514.0
300871545,184,5270358663889956480,6674.0
100100827,185,4955371367334610048,6226.0
279741379,186,4673947174316727040,4628.53
260304296,187,5496095101221024256,6757.0
280830734,188,4645797134023714688,6340.3
278866211,189,5497106965452682752,6236.0
166739520,190,4746157737910069888,5984.9
183532609,191,2312679845530628096,5589.0
183537452,192,6534414719318224512,5203.0
183985250,193,2307504062045842688,5374.0
211438925,194,2359978293136820864,5775.7
230982885,195,4911563216311083392,5696.0
234519192,196,4708765409033060224,6648.0
441462736,197,2388463203438164096,5083.0
12421862,198,2333676738049780352,3782.0
309792357,199,4762582895440787712,5180.0
410214986,200,6387058411482257536,5414.0
350618622,201,4767547667180525696,6461.8
355509914,202,4904072037432148096,4610.0
259962054,203,4647534190597951232,3209.0
281781375,204,4903786336207800576,5553.0
281575427,205,4918753025923909504,6222.5
55650590,206,4665277593852295424,3383.0
260271203,207,5495046927338722688,6186.0
314865962,208,4641499727187369088,5548.0
52204645,209,4704688557356511872,4916.0
141608198,210,4650160717726370816,3264.0
300293197,211,5268755820751031296,5873.97
206609630,212,4717055692347031296,nan
234345288,213,4644950166473815168,4566.4
167415965,214,5266722205277801984,5346.17
231912935,215,4900600363827037184,5707.0
55652896,216,4664811297844004352,5025.77
260043723,217,5494716691597142272,6358.0
32090583,218,4667466549703138176,3249.0
260609205,219,5495203195428412416,6190.91
150098860,220,5481210874877547904,5272.71
316937670,221,6495299760663617664,3460.0
144440290,222,6531037981670835584,5709.0
326453034,223,6622943959612771200,5276.0
70797900,224,2320703325475764864,nan
47525799,225,2383924277704397056,4880.0
47484268,226,6611281298042704512,3339.0
2760710,227,2394480109022713856,3176.0
77044471,228,2327000400367097984,5863.0
120610833,229,2308834780352875904,5298.0
160074939,230,6552981691139772160,6553.0
204376737,231,2385171398768647552,5380.72
402026209,232,6535499658122055552,5504.0
415969908,233,2402715141877299584,3568.0
12423815,234,2335244779070099200,3628.0
280095254,235,4640854653163124352,5454.42
9727392,236,2434381179836445952,6421.5
305048087,237,2329387852426700800,3210.0
9006668,238,2405081733281425280,5029.0
9725627,239,2434845586060285824,6362.5
101948569,240,4982951791883929472,4316.0
77031414,241,2323985539482908416,5752.0
120585579,242,4998332791323679488,6190.0
149010208,243,2319577906605289088,6465.0
118327550,244,5001098681543159040,3407.0
154618248,245,6554931361478622976,6208.0
158623531,246,4917441922731087488,nan
160148385,247,4990044668377961984,5560.0
201793781,248,4743138925656526976,5711.7
179985715,249,4987729474846997248,4047.0
184240683,250,6533307957785865856,5735.75
224225541,251,6539037542941988736,5789.0
237924601,252,4673483932027954048,5071.0
322063810,253,4928367189956040960,4037.0
49687222,254,2436461352756899200,6101.0
204317710,255,2398227794405981568,5667.0
92226327,256,2371032916186181760,3166.0
200723869,257,4747624104168195072,6382.67
350445771,258,4766550723668101376,6474.57
12862099,259,2424406513428936832,5480.0
37749396,260,2428162410789155328,4049.0
63898957,261,2345033662373296768,5890.3
70513361,262,5019835424832215424,5302.58
120916706,263,5119203027983398656,3423.0
